participant,rows_train,rows_test,groups_train,groups_test,n_features,global_te_acc,global_te_bacc,global_te_f1,oob_global,global_params
3,1340,600,134,60,376,0.6683333333333333,0.5455555555555556,0.31141868512110726,,"{""metric"": ""manhattan"", ""n_neighbors"": 3, ""weights"": ""uniform""}"
4,1400,600,140,60,376,0.5416666666666666,0.5416666666666666,0.5709828393135725,,"{""metric"": ""manhattan"", ""n_neighbors"": 3, ""weights"": ""uniform""}"
5,1400,600,140,60,376,0.62,0.52875,0.3090909090909091,,"{""metric"": ""manhattan"", ""n_neighbors"": 3, ""weights"": ""uniform""}"
6,1400,600,140,60,376,0.7,0.5952380952380952,0.4,,"{""metric"": ""manhattan"", ""n_neighbors"": 3, ""weights"": ""uniform""}"
7,1400,600,140,60,376,0.5383333333333333,0.5267676767676768,0.6048502139800286,,"{""metric"": ""manhattan"", ""n_neighbors"": 3, ""weights"": ""uniform""}"
8,1400,600,140,60,376,0.6116666666666667,0.607912457912458,0.5693160813308688,,"{""metric"": ""manhattan"", ""n_neighbors"": 3, ""weights"": ""uniform""}"
9,1400,600,140,60,376,0.5566666666666666,0.5546875,0.584375,,"{""metric"": ""manhattan"", ""n_neighbors"": 3, ""weights"": ""uniform""}"
10,1400,600,140,60,376,0.56,0.5525252525252525,0.6106194690265486,,"{""metric"": ""manhattan"", ""n_neighbors"": 3, ""weights"": ""uniform""}"
12,1400,600,140,60,376,0.65,0.5674603174603174,0.38235294117647056,,"{""metric"": ""manhattan"", ""n_neighbors"": 3, ""weights"": ""uniform""}"
14,1400,600,140,60,376,0.6233333333333333,0.5420634920634921,0.3505747126436782,,"{""metric"": ""manhattan"", ""n_neighbors"": 3, ""weights"": ""uniform""}"
17,1400,600,140,60,376,0.58,0.5800000000000001,0.5987261146496815,,"{""metric"": ""manhattan"", ""n_neighbors"": 3, ""weights"": ""uniform""}"
18,1320,600,132,60,376,0.5233333333333333,0.5223581757508342,0.5,,"{""metric"": ""manhattan"", ""n_neighbors"": 3, ""weights"": ""uniform""}"
19,1400,600,140,60,376,0.88,0.5259259259259259,0.12195121951219512,,"{""metric"": ""manhattan"", ""n_neighbors"": 3, ""weights"": ""uniform""}"
21,1400,600,140,60,376,0.565,0.565,0.555366269165247,,"{""metric"": ""manhattan"", ""n_neighbors"": 3, ""weights"": ""uniform""}"
22,1400,600,140,60,376,0.52,0.4791666666666667,0.6307692307692307,,"{""metric"": ""manhattan"", ""n_neighbors"": 3, ""weights"": ""uniform""}"
