feature,mean_importance
ch19-lowgamma-std,0.4712635
ch12-lowgamma-peaktopeak,0.34218395
ch19-lowgamma-peaktopeak,0.30625448
ch12-lowgamma-de,0.17902125
ch18-lowgamma-de,0.14938994
ch15-lowgamma-hjmob,0.13435413
ch18-lowgamma-peaktopeak,0.089014955
ch4-beta-psd,0.06802287
ch12-beta-hjcomp,0.046285126
ch13-sigma-kurt,0.045471754
ch14-lowgamma-hjmob,0.028250078
ch1-sigma-skew,0.02566439
ch5-lowgamma-hjmob,0.020494519
ch16-theta-skew,0.020140398
ch19-lowgamma-hjmob,0.019939736
ch11-lowgamma-peaktopeak,0.018256072
ch13-lowgamma-hjact,0.018244995
ch7-theta-psd,0.018139485
ch4-delta-relpow,0.01788766
ch8-beta-psd,0.017672215
ch16-lowgamma-peaktopeak,0.016347433
ch9-lowgamma-hjmob,0.015471535
ch7-lowgamma-de,0.015120456
ch5-sigma-kurt,0.014859311
ch2-sigma-skew,0.014657223
ch14-lowgamma-de,0.0142300865
ch16-beta-hjmob,0.0140049355
ch9-beta-peaktopeak,0.013630608
ch1-lowgamma-peaktopeak,0.0134657705
ch17-beta-kurt,0.013294504
ch14-alpha-skew,0.012996649
ch2-delta-skew,0.012956754
ch6-alpha-hjcomp,0.012443349
ch12-theta-skew,0.012244661
ch5-lowgamma-de,0.011777454
ch4-lowgamma-peaktopeak,0.011250492
ch1-beta-skew,0.011142688
ch14-lowgamma-peaktopeak,0.010745558
ch13-alpha-kurt,0.009914718
ch3-lowgamma-hjmob,0.0098973885
ch7-lowgamma-kurt,0.009733894
ch8-beta-hjcomp,0.0089146
ch5-lowgamma-peaktopeak,0.008830726
ch11-lowgamma-relpow,0.008779415
ch10-lowgamma-kurt,0.008723631
ch4-lowgamma-hjcomp,0.008663933
ch5-beta-kurt,0.008554104
ch7-alpha-peaktopeak,0.008524314
ch7-lowgamma-hjact,0.008341212
ch10-theta-skew,0.008301652
ch9-lowgamma-de,0.008297583
ch16-lowgamma-hjmob,0.008240281
ch1-beta-relpow,0.0081404215
ch5-delta-kurt,0.008134104
ch18-delta-relpow,0.0076368866
ch16-beta-kurt,0.0075858175
ch9-lowgamma-peaktopeak,0.0075269737
ch7-theta-hjcomp,0.0073370035
ch8-lowgamma-de,0.007291996
ch11-lowgamma-kurt,0.0071941577
ch3-delta-skew,0.0071659745
ch14-beta-kurt,0.0070386888
ch12-beta-peaktopeak,0.006917863
ch1-alpha-skew,0.006881929
ch16-sigma-skew,0.006800704
ch8-sigma-relpow,0.0067752125
ch12-lowgamma-hjmob,0.006737284
ch4-alpha-skew,0.0064648897
ch13-theta-skew,0.006374526
ch13-sigma-skew,0.0061502606
ch3-lowgamma-de,0.005952091
ch12-sigma-skew,0.0058978996
ch7-beta-skew,0.0058394144
ch18-lowgamma-hjmob,0.0057109958
ch19-lowgamma-de,0.005634588
ch3-beta-hjmob,0.0056179124
ch9-lowgamma-kurt,0.005615753
ch11-theta-relpow,0.0055581317
ch7-lowgamma-skew,0.0053856205
ch3-lowgamma-relpow,0.005194875
ch8-lowgamma-hjcomp,0.0051596365
ch4-alpha-hjcomp,0.005000171
ch18-beta-kurt,0.00495563
ch15-beta-skew,0.0047068144
ch6-alpha-hjmob,0.0046296925
ch3-theta-skew,0.004599347
ch17-theta-kurt,0.004590871
ch13-alpha-hjmob,0.004561082
ch11-delta-relpow,0.004525451
ch9-lowgamma-std,0.004521432
ch6-theta-relpow,0.00448896
ch16-lowgamma-de,0.004432081
ch7-theta-relpow,0.0044067902
ch3-beta-psd,0.004384284
ch4-lowgamma-skew,0.004362005
ch10-beta-hjcomp,0.0043456615
ch7-alpha-hjmob,0.0042551244
ch17-sigma-skew,0.0041938988
ch14-lowgamma-relpow,0.0041085407
ch8-delta-relpow,0.004077407
ch1-lowgamma-kurt,0.0040459395
ch2-alpha-hjmob,0.0040189284
ch6-lowgamma-hjmob,0.0039574457
ch3-lowgamma-std,0.003941545
ch18-theta-skew,0.003862926
ch2-lowgamma-peaktopeak,0.0037611504
ch12-beta-skew,0.0037249182
ch6-alpha-kurt,0.0036276826
ch8-lowgamma-skew,0.0036253748
ch3-theta-psd,0.0035735094
ch18-beta-peaktopeak,0.0034616422
ch8-alpha-hjcomp,0.0034390725
ch13-lowgamma-peaktopeak,0.0034328967
ch18-sigma-relpow,0.0034041966
ch1-theta-skew,0.0033608677
ch12-alpha-skew,0.0033586316
ch13-alpha-relpow,0.0032858788
ch5-alpha-relpow,0.0032797754
ch14-alpha-hjmob,0.0031448398
ch18-beta-psd,0.003111496
ch4-alpha-kurt,0.0030791285
ch7-beta-hjact,0.0030702364
ch9-beta-kurt,0.0030304033
ch9-theta-kurt,0.0029959243
ch7-theta-kurt,0.0029565666
ch15-alpha-hjmob,0.00294858
ch13-alpha-skew,0.0029037774
ch14-beta-psd,0.002844434
ch10-lowgamma-peaktopeak,0.0028308982
ch18-alpha-kurt,0.002816714
ch4-alpha-hjmob,0.002815689
ch6-lowgamma-hjact,0.0028142803
ch8-alpha-peaktopeak,0.002798439
ch13-beta-skew,0.0027711687
ch3-lowgamma-hjcomp,0.002771149
ch16-theta-hjcomp,0.0027659668
ch10-lowgamma-de,0.00276284
ch15-lowgamma-peaktopeak,0.0027356078
ch6-lowgamma-kurt,0.0026974722
ch8-theta-relpow,0.0026826593
ch4-theta-skew,0.002621524
ch6-lowgamma-hjcomp,0.0025980712
ch13-lowgamma-de,0.0025739355
ch11-alpha-skew,0.0025444885
ch17-lowgamma-peaktopeak,0.002540334
ch14-lowgamma-kurt,0.0025398743
ch13-beta-relpow,0.0025329816
ch10-lowgamma-hjmob,0.0025284463
ch19-alpha-kurt,0.0025104878
ch17-lowgamma-hjcomp,0.0024869281
ch11-beta-skew,0.0024795192
ch4-beta-hjcomp,0.0024491728
ch6-theta-kurt,0.0024304872
ch11-lowgamma-skew,0.0023507401
ch4-beta-peaktopeak,0.0023377838
ch13-lowgamma-kurt,0.0022876023
ch1-lowgamma-de,0.0022682534
ch10-lowgamma-relpow,0.0022644862
ch7-delta-skew,0.002243182
ch2-lowgamma-de,0.0022243904
ch3-lowgamma-kurt,0.0021950563
ch15-lowgamma-de,0.0021827205
ch7-lowgamma-peaktopeak,0.0021798043
ch17-sigma-kurt,0.0021649736
ch7-sigma-relpow,0.0021531545
ch5-sigma-relpow,0.0021512366
ch5-alpha-hjmob,0.0021474643
ch14-alpha-kurt,0.002143158
ch12-alpha-hjmob,0.0021201125
ch12-theta-peaktopeak,0.0021089076
ch12-sigma-relpow,0.002099647
ch7-alpha-relpow,0.0020725129
ch13-theta-psd,0.0020506205
ch16-delta-relpow,0.0020235463
ch1-sigma-kurt,0.0019828249
ch11-lowgamma-de,0.0019515688
ch12-theta-kurt,0.0019448565
ch17-lowgamma-hjmob,0.0018749706
ch19-alpha-relpow,0.001867225
ch12-theta-hjcomp,0.0018331095
ch10-lowgamma-hjcomp,0.0018248096
ch10-beta-peaktopeak,0.0018228907
ch4-sigma-peaktopeak,0.0018056002
ch7-theta-peaktopeak,0.0017849287
ch14-lowgamma-skew,0.0017524442
ch4-sigma-skew,0.0017521936
ch5-delta-relpow,0.0017445848
ch1-theta-kurt,0.001730441
ch18-sigma-peaktopeak,0.0017105327
ch14-alpha-relpow,0.0017066002
ch3-sigma-relpow,0.0016959101
ch3-beta-hjcomp,0.0016918689
ch6-delta-skew,0.0016711218
ch9-lowgamma-hjcomp,0.0016115833
ch17-lowgamma-de,0.0015878727
ch4-lowgamma-kurt,0.0015773454
ch10-theta-kurt,0.0015708535
ch6-sigma-peaktopeak,0.0015318436
ch15-lowgamma-kurt,0.0015086025
ch14-beta-peaktopeak,0.0014981225
ch2-lowgamma-skew,0.0014869731
ch3-delta-relpow,0.0014824284
ch9-beta-psd,0.0014708212
ch19-lowgamma-kurt,0.0014674568
ch11-alpha-hjmob,0.0014435075
ch7-beta-psd,0.0014370346
ch4-alpha-relpow,0.001436458
ch13-sigma-relpow,0.0014322526
ch5-lowgamma-hjcomp,0.0014259246
ch10-sigma-skew,0.0014213121
ch10-delta-skew,0.0014109577
ch12-lowgamma-kurt,0.0014064062
ch11-sigma-relpow,0.0013964497
ch18-alpha-skew,0.0013939457
ch18-beta-hjcomp,0.0013893563
ch13-lowgamma-skew,0.0013872434
ch16-beta-skew,0.0013609157
ch8-theta-kurt,0.0013391486
ch6-lowgamma-de,0.0013236367
ch2-alpha-hjcomp,0.0013044879
ch14-delta-relpow,0.0013033848
ch17-beta-relpow,0.001277821
ch14-beta-skew,0.0012309668
ch7-lowgamma-relpow,0.0012215207
ch8-beta-skew,0.0012210141
ch10-alpha-skew,0.0012109283
ch6-alpha-skew,0.0012072786
ch16-sigma-kurt,0.001197299
ch7-beta-relpow,0.0011727455
ch12-delta-relpow,0.0011684487
ch16-theta-kurt,0.0011495005
ch19-theta-skew,0.0011471179
ch3-beta-kurt,0.0011267144
ch9-beta-hjact,0.0011129092
ch11-theta-skew,0.0011029629
ch2-beta-relpow,0.001091934
ch17-beta-peaktopeak,0.0010911317
ch8-theta-skew,0.001090951
ch6-beta-hjcomp,0.0010480138
ch4-delta-kurt,0.0010332935
ch18-beta-relpow,0.001016222
ch14-theta-kurt,0.0010109557
ch16-lowgamma-hjcomp,0.0010109236
ch4-lowgamma-de,0.0010033676
ch5-lowgamma-kurt,0.0009955306
ch9-beta-skew,0.0009899741
ch19-sigma-relpow,0.0009825858
ch14-sigma-kurt,0.000981171
ch3-sigma-skew,0.000977584
ch2-beta-skew,0.0009768084
ch6-lowgamma-peaktopeak,0.00097621203
ch4-theta-relpow,0.00095849705
ch8-sigma-kurt,0.00095597404
ch5-sigma-skew,0.00094817294
ch5-alpha-kurt,0.00094426423
ch17-alpha-skew,0.00094165234
ch4-theta-hjcomp,0.0009393404
ch19-lowgamma-relpow,0.000935645
ch3-beta-skew,0.00091751653
ch19-sigma-skew,0.00089800096
ch8-lowgamma-kurt,0.00089667895
ch17-lowgamma-kurt,0.0008875165
ch6-lowgamma-relpow,0.00088289555
ch3-alpha-skew,0.00088177476
ch7-delta-relpow,0.000849271
ch5-beta-skew,0.00084657874
ch7-sigma-skew,0.0008385768
ch3-lowgamma-peaktopeak,0.00083748845
ch6-theta-skew,0.00083402
ch5-lowgamma-relpow,0.00083383266
ch7-beta-hjcomp,0.0008266142
ch11-beta-psd,0.0008048158
ch9-alpha-relpow,0.0008047096
ch14-sigma-skew,0.0008037165
ch2-lowgamma-relpow,0.00080261985
ch7-theta-skew,0.00079854525
ch17-alpha-hjmob,0.000786628
ch9-theta-skew,0.0007737191
ch3-beta-relpow,0.0007728841
ch19-theta-kurt,0.00077117607
ch13-lowgamma-hjcomp,0.0007675136
ch19-beta-relpow,0.0007624771
ch6-delta-relpow,0.0007610018
ch17-alpha-peaktopeak,0.0007554003
ch5-theta-relpow,0.0007549348
ch2-beta-hjcomp,0.0007499759
ch8-lowgamma-peaktopeak,0.00074804714
ch9-alpha-skew,0.00073831365
ch1-lowgamma-relpow,0.0007125194
ch12-sigma-kurt,0.0007092747
ch10-beta-psd,0.0007038548
ch15-theta-kurt,0.00069891714
ch6-sigma-skew,0.0006918204
ch17-lowgamma-std,0.00068459514
ch10-sigma-relpow,0.0006841058
ch18-theta-relpow,0.0006538647
ch12-alpha-relpow,0.0006504852
ch8-alpha-skew,0.00063228706
ch6-beta-psd,0.00062113587
ch11-lowgamma-hjcomp,0.0006109113
ch1-beta-hjcomp,0.00060656184
ch18-theta-kurt,0.00060467276
ch15-sigma-skew,0.00059563474
ch15-delta-skew,0.00058519404
ch19-lowgamma-hjcomp,0.0005601773
ch17-delta-relpow,0.0005432019
ch3-alpha-relpow,0.0005263453
ch4-lowgamma-relpow,0.00050525425
ch19-alpha-skew,0.0004790394
ch7-beta-hjmob,0.0004766097
ch14-theta-skew,0.00046678356
ch11-alpha-relpow,0.0004660187
ch3-beta-peaktopeak,0.00046314902
ch1-alpha-kurt,0.00046276854
ch13-lowgamma-hjmob,0.0004618233
ch11-lowgamma-hjmob,0.0004552629
ch17-beta-psd,0.00045406626
ch4-lowgamma-hjmob,0.00044932225
ch15-theta-skew,0.00041699898
ch13-theta-kurt,0.00041607622
ch18-alpha-hjmob,0.00041017027
ch15-sigma-relpow,0.00040897902
ch15-theta-hjcomp,0.0004069554
ch13-delta-relpow,0.00040071277
ch2-theta-kurt,0.0003977438
ch16-lowgamma-relpow,0.00035752673
ch7-sigma-peaktopeak,0.00035228208
ch6-beta-skew,0.0003237582
ch1-beta-psd,0.0003205953
ch17-sigma-peaktopeak,0.00029922178
ch9-sigma-skew,0.00027572506
ch5-theta-skew,0.00027399004
ch19-sigma-kurt,0.00027042933
ch18-lowgamma-kurt,0.00025657052
ch2-alpha-skew,0.00024894022
ch13-theta-relpow,0.0001939008
ch4-theta-kurt,0.00016486319
ch15-alpha-skew,0.00014500476
ch13-beta-peaktopeak,0.00014378446
ch15-lowgamma-relpow,0.0001312761
ch1-lowgamma-hjmob,0.00010265861
ch13-beta-hjcomp,6.206861e-05
ch3-lowgamma-psd,0.0
ch7-beta-peaktopeak,0.0
ch13-lowgamma-psd,0.0
ch5-theta-kurt,0.0
ch18-lowgamma-psd,0.0
ch4-lowgamma-std,0.0
ch13-beta-psd,0.0
ch8-beta-peaktopeak,0.0
ch6-lowgamma-psd,0.0
ch11-lowgamma-psd,0.0
ch17-theta-skew,0.0
ch8-lowgamma-std,0.0
ch13-lowgamma-std,0.0
ch1-theta-hjcomp,0.0
ch9-lowgamma-psd,0.0
ch8-lowgamma-psd,0.0
ch6-lowgamma-std,0.0
ch8-sigma-skew,0.0
ch8-lowgamma-hjact,0.0
ch19-delta-relpow,0.0
ch5-lowgamma-psd,0.0
ch2-lowgamma-hjcomp,0.0
ch10-beta-skew,0.0
ch17-lowgamma-psd,0.0
ch4-sigma-kurt,0.0
ch7-lowgamma-psd,0.0
ch4-lowgamma-hjact,0.0
ch10-theta-relpow,0.0
ch4-lowgamma-psd,0.0
ch3-lowgamma-hjact,0.0
ch9-lowgamma-hjact,0.0
ch7-lowgamma-std,0.0
ch19-lowgamma-psd,0.0
ch17-lowgamma-hjact,0.0
